"행정구역별(읍면동)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호)
"읍부",247750,126505,121245,242011,123165,118846,5739,3340,2399,113587,111974,126,1487,113147,48672,50487,6517,4662,2809,3382
"면부",355228,184610,170618,343254,177527,165727,11974,7083,4891,170241,166701,270,3270,173403,117541,45515,3633,3050,3664,6727
"동부",925036,459709,465327,909609,451944,457665,15427,7765,7662,425066,419735,257,5074,388279,74361,291355,11867,5439,5257,8936
"춘천시",292504,143912,148592,286728,141037,145691,5776,2875,2901,130633,128682,103,1848,109424,27343,77508,1795,1409,1369,2958
"원주시",364912,181211,183701,358658,177932,180726,6254,3279,2975,164462,162343,116,2003,150082,30342,115699,1220,1291,1530,3914
"강릉시",213786,106934,106852,209380,104547,104833,4406,2387,2019,100581,98918,111,1552,91183,29811,54786,3281,1480,1825,2441
"동해시",86222,43859,42363,84928,43097,41831,1294,762,532,39854,39492,24,338,41979,10343,28104,1656,1182,694,665
"태백시",38425,19283,19142,37959,19129,18830,466,154,312,18793,18657,18,118,21764,5809,12863,2522,162,408,402
"속초시",80497,40128,40369,78624,38989,39635,1873,1139,734,38547,38042,26,479,40757,8237,29502,1862,533,623,931
"삼척시",63542,32955,30587,62432,32301,30131,1110,654,456,30546,30225,25,296,31466,13184,15148,1603,934,597,660
"홍천군",65109,33533,31576,63554,32670,30884,1555,863,692,31172,30685,41,446,31208,19862,8319,1549,786,692,1064
"횡성군",45789,23624,22165,43955,22542,21413,1834,1082,752,21488,21006,32,450,21550,15555,4736,379,502,378,859
"영월군",35581,18366,17215,35055,18124,16931,526,242,284,18182,18013,17,152,18416,11578,4877,736,817,408,615
"평창군",38959,20048,18911,37825,19536,18289,1134,512,622,19519,19175,22,322,22755,13079,6024,1979,1163,510,861
"정선군",32793,17028,15765,32282,16863,15419,511,165,346,16582,16413,25,144,17328,10204,5749,409,512,454,597
"철원군",40702,21190,19512,39320,20370,18950,1382,820,562,17775,17365,18,392,17244,9224,5437,999,1108,476,764
"화천군",22372,11997,10375,21871,11750,10121,501,247,254,10402,10239,15,148,9967,5959,3039,478,257,234,449
"양구군",20943,11146,9797,20123,10562,9561,820,584,236,9272,9027,14,231,8499,4938,2767,348,174,272,331
"인제군",31490,17375,14115,30502,16747,13755,988,628,360,14284,14021,13,250,13374,7810,4220,546,357,441,499
"고성군",27811,14658,13153,25613,13136,12477,2198,1522,676,13384,12866,21,497,13189,9021,3495,153,151,369,533
"양양군",26577,13577,13000,26065,13304,12761,512,273,239,13418,13241,12,165,14644,8275,5084,502,333,450,502
"충청북도",1641481,842776,798705,1570170,798432,771738,71311,44344,26967,741403,720231,825,20347,673539,211977,414551,15970,20950,10091,20968
"읍부",359683,188729,170954,339334,175729,163605,20349,13000,7349,160432,154546,210,5676,149373,40934,94136,5296,6772,2235,5854
"면부",334186,178665,155521,308541,160261,148280,25645,18404,7241,158852,152880,342,5630,161215,109886,41014,2951,5116,2248,7841
"동부",947612,475382,472230,922295,462442,459853,25317,12940,12377,422119,412805,273,9041,362951,61157,279401,7723,9062,5608,7273
"충주시",215990,110707,105283,207906,105775,102131,8084,4932,3152,100082,97709,116,2257,96106,30335,55946,3081,5094,1650,2122
"제천시",131583,66239,65344,128833,64796,64037,2750,1443,1307,60715,59900,68,747,58425,21467,32675,1898,1011,1374,1351
"청주시",870358,440642,429716,845285,426977,418308,25073,13665,11408,385589,376787,263,8539,324726,62757,247052,4709,6173,4035,9519
"상당구",197451,98346,99105,195602,97590,98012,1849,756,1093,83504,82951,61,492,78024,16511,57403,1370,1805,935,1045
"서원구",195222,97509,97713,189261,94387,94874,5961,3122,2839,88203,85942,62,2199,74920,13546,58013,1098,1149,1114,1522
"흥덕구",281394,143300,138094,271107,137681,133426,10287,5619,4668,126770,122901,65,3804,101149,17774,79370,1074,2000,931,4618
"청원구",196291,101487,94804,189315,97319,91996,6976,4168,2808,87112,84993,75,2044,70633,14926,52266,1167,1219,1055,2334
"보은군",30226,15134,15092,29371,14681,14690,855,453,402,14656,14460,20,176,16001,11827,3257,324,294,299,620
"옥천군",47771,24247,23524,46496,23457,23039,1275,790,485,21940,21650,33,257,22557,14232,6250,536,1111,428,789
"영동군",44331,22212,22119,42853,21376,21477,1478,836,642,21508,21114,42,352,21731,15222,4559,926,680,344,735
"진천군",94405,51744,42661,83147,44039,39108,11258,7705,3553,41375,38111,79,3185,40625,11070,24248,1652,3197,458,1402
"괴산군",37607,19789,17818,35924,18596,17328,1683,1193,490,18501,18191,23,287,17424,14801,1508,280,515,320,862
"음성군",104615,58759,45856,87739,46517,41222,16876,12242,4634,46268,42185,152,3931,44476,16553,23939,1119,2286,579,2760
